column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
RAET1L.10589.7.3,numeric,Retinoic acid early transcript 1L protein (RAET1L),10589-7,SL018354,Retinoic acid early transcript 1L protein,RET1L,Q5VY80,154064,RAET1L,Human,Protein,PASS,139,0,0
X.10593.14.3,numeric,,,,,,,,,,,,41,0,0
CLGN.10600.24.3,numeric,Calmegin (CLGN),10600-24,SL017410,Calmegin,CLGN,O14967,4312,CLGN,Human,Protein,PASS,151,0,0
HTN3.10603.1.3,numeric,Histatin-3 (HTN3),10603-1,SL012419,Histatin-3,HIS3,P15516,3347,HTN3,Human,Protein,PASS,130,0,0
APMAP.10605.22.3,numeric,Adipocyte plasma membrane-associated protein (APMAP),10605-22,SL004748,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,57136,APMAP,Human,Protein,PASS,76,0,0
TOR1AIP1.10606.34.3,numeric,Torsin-1A-interacting protein 1 (TOR1AIP1),10606-34,SL018600,Torsin-1A-interacting protein 1,TOIP1,Q5JTV8,26092,TOR1AIP1,Human,Protein,PASS,150,0,0
X.10607.4.3,numeric,,,,,,,,,,,,37,0,0
HTN1.10608.9.3,numeric,Histatin-1 (HTN1),10608-9,SL012418,Histatin-1,HIS1,P15515,3346,HTN1,Human,Protein,PASS,119,0,0
X.10610.8.3,numeric,Fc_MOUSE (),10610-8,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,132,0,0
PLOD3.10612.18.3,numeric,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (PLOD3)",10612-18,SL008694,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,O60568,8985,PLOD3,Human,Protein,PASS,152,0,0
CASC4.10613.33.3,numeric,Protein CASC4 (CASC4),10613-33,SL018589,Protein CASC4,CASC4,Q6P4E1,113201,CASC4,Human,Protein,PASS,149,0,0
MPZ.10615.18.3,numeric,Myelin protein P0 (MPZ),10615-18,SL008066,Myelin protein P0,MYP0,P25189,4359,MPZ,Human,Protein,PASS,139,0,0
PODXL2.10616.67.3,numeric,Podocalyxin-like protein 2 (PODXL2),10616-67,SL017477,Podocalyxin-like protein 2,PDXL2,Q9NZ53,50512,PODXL2,Human,Protein,PASS,110,0,0
LRP2.10618.190.3,numeric,Low-density lipoprotein receptor-related protein 2 (LRP2),10618-190,SL004439,Low-density lipoprotein receptor-related protein 2,megalin,P98164,4036,LRP2,Human,Protein,PASS,128,0,0
MSMB.10620.21.3,numeric,Beta-microseminoprotein (MSMB),10620-21,SL000548,Beta-microseminoprotein,PSP-94,P08118,4477,MSMB,Human,Protein,PASS,141,0,0
PRR16.10621.26.3,numeric,Protein Largen (PRR16),10621-26,SL018592,Protein Largen,PRR16,Q569H4,51334,PRR16,Human,Protein,PASS,102,0,0
X.10622.9.3,numeric,Fc_MOUSE (),10622-9,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,86,0,0
MUC1.10623.19.3,numeric,Mucin-1 (MUC1),10623-19,SL000001,Mucin-1,MUC1,P15941,4582,MUC1,Human,Protein,PASS,100,0,0
SPINK13.10624.45.3,numeric,Serine protease inhibitor Kazal-type 13 (SPINK13),10624-45,SL018582,Serine protease inhibitor Kazal-type 13,ISK13,Q1W4C9,153218,SPINK13,Human,Protein,PASS,116,0,0
APLP2.10627.87.3,numeric,Amyloid-like protein 2 (APLP2),10627-87,SL007366,Amyloid-like protein 2,APLP2,Q06481,334,APLP2,Human,Protein,PASS,152,0,0
HTATIP2.10630.5.3,numeric,Oxidoreductase HTATIP2 (HTATIP2),10630-5,SL007633,Oxidoreductase HTATIP2,HTAI2,Q9BUP3,10553,HTATIP2,Human,Protein,PASS,128,0,0
KIAA1324.10637.50.3,numeric,UPF0577 protein KIAA1324 (KIAA1324),10637-50,SL007494,UPF0577 protein KIAA1324,K1324,Q6UXG2,57535,KIAA1324,Human,Protein,PASS,96,0,0
TINF2.10638.1.3,numeric,TERF1-interacting nuclear factor 2 (TINF2),10638-1,SL018685,TERF1-interacting nuclear factor 2,TINF2,Q9BSI4,26277,TINF2,Human,Protein,PASS,82,0,0
X.10639.1.3,numeric,Fc_MOUSE (),10639-1,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,103,0,0
X.10640.9.3,numeric,,,,,,,,,,,,127,0,0
OLFM3.10643.16.3,numeric,,,,,,,,,,,,145,0,0
X.10645.72.3,numeric,,,,,,,,,,,,150,0,0
ASCC1.10647.18.3,numeric,Activating signal cointegrator 1 complex subunit 1 (ASCC1),10647-18,SL017894,Activating signal cointegrator 1 complex subunit 1,ASCC1,Q8N9N2,51008,ASCC1,Human,Protein,PASS,146,0,0
X.10655.43.3,numeric,Fc_MOUSE (),10655-43,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,89,0,0
X.10658.28.3,numeric,,,,,,,,,,,,149,0,0
X.10659.49.3,numeric,Fc_MOUSE (),10659-49,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,83,0,0
X.10660.33.3,numeric,Fc_MOUSE (),10660-33,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,114,0,0
X.10661.4.3,numeric,Fc_MOUSE (),10661-4,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,100,0,0
INSIG1.10663.42.3,numeric,Insulin-induced gene 1 protein (INSIG1),10663-42,SL018014,Insulin-induced gene 1 protein,INSI1,O15503,3638,INSIG1,Human,Protein,PASS,97,0,0
X.10665.30.3,numeric,,,,,,,,,,,,152,0,0
GNPTG.10666.7.3,numeric,N-acetylglucosamine-1-phosphotransferase subunit gamma (GNPTG),10666-7,SL012791,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,Q9UJJ9,84572,GNPTG,Human,Protein,PASS,152,0,0
C1orf185.10667.78.3,numeric,Uncharacterized protein C1orf185 (C1orf185),10667-78,SL018036,Uncharacterized protein C1orf185,CA185,Q5T7R7,284546,C1orf185,Human,Protein,PASS,97,0,0
STX4.10668.5.3,numeric,Syntaxin-4 (STX4),10668-5,SL007377,Syntaxin-4,STX4,Q12846,6810,STX4,Human,Protein,PASS,140,0,0
X.10671.67.3,numeric,Fc_MOUSE (),10671-67,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,82,0,0
SFTPB.10672.75.3,numeric,,,,,,,,,,,,118,0,0
TMX2.10675.223.3,numeric,Thioredoxin-related transmembrane protein 2 (TMX2),10675-223,SL018343,Thioredoxin-related transmembrane protein 2,TMX2,Q9Y320,51075,TMX2,Human,Protein,PASS,113,0,0
NDUFB4.10677.9.3,numeric,,,,,,,,,,,,151,0,0
X.10692.48.3,numeric,Fc_MOUSE (),10692-48,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,131,0,0
KLRG2.10693.43.3,numeric,Killer cell lectin-like receptor subfamily G member 2 (KLRG2),10693-43,SL018578,Killer cell lectin-like receptor subfamily G member 2,KLRG2,A4D1S0,346689,KLRG2,Human,Protein,PASS,95,0,0
WFDC10B.10695.12.3,numeric,Protein WFDC10B (WFDC10B),10695-12,SL012662,Protein WFDC10B,WF10B,Q8IUB3,280664,WFDC10B,Human,Protein,PASS,107,0,0
LRP1.10699.52.3,numeric,Prolow-density lipoprotein receptor-related protein 1 (LRP1),10699-52,SL018603,Prolow-density lipoprotein receptor-related protein 1,LRP1,Q07954,4035,LRP1,Human,Protein,PASS,124,0,0
IGSF11.10700.10.3,numeric,Immunoglobulin superfamily member 11 (IGSF11),10700-10,SL017271,Immunoglobulin superfamily member 11,IGS11,Q5DX21,152404,IGSF11,Human,Protein,PASS,97,0,0
X.10701.30.3,numeric,Fc_MOUSE (),10701-30,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,133,0,0
COL28A1.10702.1.3,numeric,Collagen alpha-1(XXVIII) chain (COL28A1),10702-1,SL012521,Collagen alpha-1(XXVIII) chain,COSA1,Q2UY09,340267,COL28A1,Human,Protein,PASS,152,0,0
SUDS3.10703.203.3,numeric,,,,,,,,,,,,140,0,0
LRMP.10704.91.3,numeric,Lymphoid-restricted membrane protein (LRMP),10704-91,SL018605,Lymphoid-restricted membrane protein,LRMP,Q12912,4033,LRMP,Human,Protein,PASS,99,0,0
ST6GALNAC3.10705.14.3,numeric,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 (ST6GALNAC3)",10705-14,SL018611,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",SIA7C,Q8NDV1,256435,ST6GALNAC3,Human,Protein,PASS,109,0,0
