column,type,description,n_unique,n_missing,pct_missing
AC005154.2_CD14_Monocyte,numeric,Expression level of gene AC005154.2 in cell type: CD14_Monocyte,45,0,0
AC005154.5_CD14_Monocyte,numeric,Expression level of gene AC005154.5 in cell type: CD14_Monocyte,58,0,0
AC005165.2_CD14_Monocyte,numeric,Expression level of gene AC005165.2 in cell type: CD14_Monocyte,24,0,0
AC005224.2_CD14_Monocyte,numeric,Expression level of gene AC005224.2 in cell type: CD14_Monocyte,41,0,0
AC005224.3_CD14_Monocyte,numeric,Expression level of gene AC005224.3 in cell type: CD14_Monocyte,6,0,0
AC005225.2_CD14_Monocyte,numeric,Expression level of gene AC005225.2 in cell type: CD14_Monocyte,6,0,0
AC005229.1_CD14_Monocyte,numeric,Expression level of gene AC005229.1 in cell type: CD14_Monocyte,33,0,0
AC005229.4_CD14_Monocyte,numeric,Expression level of gene AC005229.4 in cell type: CD14_Monocyte,11,0,0
AC005253.1_CD14_Monocyte,numeric,Expression level of gene AC005253.1 in cell type: CD14_Monocyte,9,0,0
AC005253.2_CD14_Monocyte,numeric,Expression level of gene AC005253.2 in cell type: CD14_Monocyte,18,0,0
AC005258.1_CD14_Monocyte,numeric,Expression level of gene AC005258.1 in cell type: CD14_Monocyte,267,0,0
AC005261.1_CD14_Monocyte,numeric,Expression level of gene AC005261.1 in cell type: CD14_Monocyte,71,0,0
AC005261.3_CD14_Monocyte,numeric,Expression level of gene AC005261.3 in cell type: CD14_Monocyte,25,0,0
AC005262.1_CD14_Monocyte,numeric,Expression level of gene AC005262.1 in cell type: CD14_Monocyte,5,0,0
AC005280.3_CD14_Monocyte,numeric,Expression level of gene AC005280.3 in cell type: CD14_Monocyte,94,0,0
AC005288.1_CD14_Monocyte,numeric,Expression level of gene AC005288.1 in cell type: CD14_Monocyte,13,0,0
AC005300.1_CD14_Monocyte,numeric,Expression level of gene AC005300.1 in cell type: CD14_Monocyte,7,0,0
AC005306.1_CD14_Monocyte,numeric,Expression level of gene AC005306.1 in cell type: CD14_Monocyte,24,0,0
AC005324.4_CD14_Monocyte,numeric,Expression level of gene AC005324.4 in cell type: CD14_Monocyte,11,0,0
AC005329.1_CD14_Monocyte,numeric,Expression level of gene AC005329.1 in cell type: CD14_Monocyte,27,0,0
AC005329.3_CD14_Monocyte,numeric,Expression level of gene AC005329.3 in cell type: CD14_Monocyte,16,0,0
AC005332.1_CD14_Monocyte,numeric,Expression level of gene AC005332.1 in cell type: CD14_Monocyte,11,0,0
AC005332.3_CD14_Monocyte,numeric,Expression level of gene AC005332.3 in cell type: CD14_Monocyte,12,0,0
AC005332.4_CD14_Monocyte,numeric,Expression level of gene AC005332.4 in cell type: CD14_Monocyte,26,0,0
AC005332.5_CD14_Monocyte,numeric,Expression level of gene AC005332.5 in cell type: CD14_Monocyte,31,0,0
AC005332.6_CD14_Monocyte,numeric,Expression level of gene AC005332.6 in cell type: CD14_Monocyte,44,0,0
AC005332.7_CD14_Monocyte,numeric,Expression level of gene AC005332.7 in cell type: CD14_Monocyte,5,0,0
AC005363.1_CD14_Monocyte,numeric,Expression level of gene AC005363.1 in cell type: CD14_Monocyte,31,0,0
AC005410.2_CD14_Monocyte,numeric,Expression level of gene AC005410.2 in cell type: CD14_Monocyte,28,0,0
AC005480.1_CD14_Monocyte,numeric,Expression level of gene AC005480.1 in cell type: CD14_Monocyte,18,0,0
AC005519.1_CD14_Monocyte,numeric,Expression level of gene AC005519.1 in cell type: CD14_Monocyte,54,0,0
AC005520.1_CD14_Monocyte,numeric,Expression level of gene AC005520.1 in cell type: CD14_Monocyte,128,0,0
AC005520.2_CD14_Monocyte,numeric,Expression level of gene AC005520.2 in cell type: CD14_Monocyte,12,0,0
AC005520.5_CD14_Monocyte,numeric,Expression level of gene AC005520.5 in cell type: CD14_Monocyte,5,0,0
AC005521.1_CD14_Monocyte,numeric,Expression level of gene AC005521.1 in cell type: CD14_Monocyte,13,0,0
AC005523.2_CD14_Monocyte,numeric,Expression level of gene AC005523.2 in cell type: CD14_Monocyte,8,0,0
AC005529.1_CD14_Monocyte,numeric,Expression level of gene AC005529.1 in cell type: CD14_Monocyte,3,0,0
