column,type,description,n_unique,n_missing,pct_missing,levels
Volume_mm3.Left-undetermined,numeric,Volume (mm³) of region: Left-undetermined,1,302,99.67,
Volume_mm3.Left-vessel,numeric,Volume (mm³) of region: Left-vessel,33,51,16.83,
Volume_mm3.Optic-Chiasm,numeric,Volume (mm³) of region: Optic-Chiasm,75,0,0,
Volume_mm3.Right-Accumbens-area,numeric,Volume (mm³) of region: Right-Accumbens-area,111,0,0,
Volume_mm3.Right-Amygdala,numeric,Volume (mm³) of region: Right-Amygdala,180,0,0,
Volume_mm3.Right-Caudate,numeric,Volume (mm³) of region: Right-Caudate,236,0,0,
Volume_mm3.Right-Cerebellum-Cortex,numeric,Volume (mm³) of region: Right-Cerebellum-Cortex,297,0,0,
Volume_mm3.Right-Cerebellum-White-Matter,numeric,Volume (mm³) of region: Right-Cerebellum-White-Matter,276,0,0,
Volume_mm3.Right-Cerebral-Cortex,numeric,Volume (mm³) of region: Right-Cerebral-Cortex,1,302,99.67,
Volume_mm3.Right-Cerebral-White-Matter,numeric,Volume (mm³) of region: Right-Cerebral-White-Matter,301,0,0,
Volume_mm3.Right-Hippocampus,numeric,Volume (mm³) of region: Right-Hippocampus,230,0,0,
Volume_mm3.Right-Inf-Lat-Vent,numeric,Volume (mm³) of region: Right-Inf-Lat-Vent,224,0,0,
Volume_mm3.Right-Lateral-Ventricle,numeric,Volume (mm³) of region: Right-Lateral-Ventricle,300,0,0,
Volume_mm3.Right-Pallidum,numeric,Volume (mm³) of region: Right-Pallidum,188,0,0,
Volume_mm3.Right-Putamen,numeric,Volume (mm³) of region: Right-Putamen,249,0,0,
Volume_mm3.Right-Thalamus,numeric,Volume (mm³) of region: Right-Thalamus,254,0,0,
Volume_mm3.Right-VentralDC,numeric,Volume (mm³) of region: Right-VentralDC,215,0,0,
Volume_mm3.Right-choroid-plexus,numeric,Volume (mm³) of region: Right-choroid-plexus,168,0,0,
Volume_mm3.Right-vessel,numeric,Volume (mm³) of region: Right-vessel,41,70,23.1,
Volume_mm3.Unknown,numeric,Volume (mm³) of region: Unknown,303,0,0,
Volume_mm3.WM-hypointensities,numeric,Volume (mm³) of region: WM-hypointensities,278,0,0,
Volume_mm3.ctx-lh-bankssts,numeric,Volume (mm³) of region: ctx-lh-bankssts,208,0,0,
