column,type,description,n_unique,n_missing,pct_missing,levels
Volume_mm3.ctx-lh-middletemporal,numeric,Volume (mm³) of region: ctx-lh-middletemporal,210,0,0,
Volume_mm3.ctx-lh-paracentral,numeric,Volume (mm³) of region: ctx-lh-paracentral,182,0,0,
Volume_mm3.ctx-lh-parahippocampal,numeric,Volume (mm³) of region: ctx-lh-parahippocampal,165,0,0,
Volume_mm3.ctx-lh-parsopercularis,numeric,Volume (mm³) of region: ctx-lh-parsopercularis,199,0,0,
Volume_mm3.ctx-lh-parsorbitalis,numeric,Volume (mm³) of region: ctx-lh-parsorbitalis,157,0,0,
Volume_mm3.ctx-lh-parstriangularis,numeric,Volume (mm³) of region: ctx-lh-parstriangularis,191,0,0,
Volume_mm3.ctx-lh-pericalcarine,numeric,Volume (mm³) of region: ctx-lh-pericalcarine,182,0,0,
Volume_mm3.ctx-lh-postcentral,numeric,Volume (mm³) of region: ctx-lh-postcentral,199,0,0,
Volume_mm3.ctx-lh-posteriorcingulate,numeric,Volume (mm³) of region: ctx-lh-posteriorcingulate,178,0,0,
Volume_mm3.ctx-lh-precentral,numeric,Volume (mm³) of region: ctx-lh-precentral,213,0,0,
Volume_mm3.ctx-lh-precuneus,numeric,Volume (mm³) of region: ctx-lh-precuneus,207,0,0,
Volume_mm3.ctx-lh-rostralanteriorcingulate,numeric,Volume (mm³) of region: ctx-lh-rostralanteriorcingulate,185,0,0,
Volume_mm3.ctx-lh-rostralmiddlefrontal,numeric,Volume (mm³) of region: ctx-lh-rostralmiddlefrontal,216,0,0,
Volume_mm3.ctx-lh-superiorfrontal,numeric,Volume (mm³) of region: ctx-lh-superiorfrontal,218,0,0,
Volume_mm3.ctx-lh-superiorparietal,numeric,Volume (mm³) of region: ctx-lh-superiorparietal,214,0,0,
Volume_mm3.ctx-lh-superiortemporal,numeric,Volume (mm³) of region: ctx-lh-superiortemporal,208,0,0,
Volume_mm3.ctx-lh-supramarginal,numeric,Volume (mm³) of region: ctx-lh-supramarginal,211,0,0,
Volume_mm3.ctx-lh-temporalpole,numeric,Volume (mm³) of region: ctx-lh-temporalpole,182,0,0,
Volume_mm3.ctx-lh-transversetemporal,numeric,Volume (mm³) of region: ctx-lh-transversetemporal,142,0,0,
Volume_mm3.ctx-rh-bankssts,numeric,Volume (mm³) of region: ctx-rh-bankssts,163,0,0,
Volume_mm3.ctx-rh-caudalanteriorcingulate,numeric,Volume (mm³) of region: ctx-rh-caudalanteriorcingulate,172,0,0,
Volume_mm3.ctx-rh-caudalmiddlefrontal,numeric,Volume (mm³) of region: ctx-rh-caudalmiddlefrontal,196,0,0,
Volume_mm3.ctx-rh-cuneus,numeric,Volume (mm³) of region: ctx-rh-cuneus,189,0,0,
Volume_mm3.ctx-rh-entorhinal,numeric,Volume (mm³) of region: ctx-rh-entorhinal,174,0,0,
Volume_mm3.ctx-rh-frontalpole,numeric,Volume (mm³) of region: ctx-rh-frontalpole,137,0,0,
Volume_mm3.ctx-rh-fusiform,numeric,Volume (mm³) of region: ctx-rh-fusiform,204,0,0,
Volume_mm3.ctx-rh-inferiorparietal,numeric,Volume (mm³) of region: ctx-rh-inferiorparietal,209,0,0,
Volume_mm3.ctx-rh-inferiortemporal,numeric,Volume (mm³) of region: ctx-rh-inferiortemporal,217,0,0,
Volume_mm3.ctx-rh-insula,numeric,Volume (mm³) of region: ctx-rh-insula,197,0,0,
Volume_mm3.ctx-rh-isthmuscingulate,numeric,Volume (mm³) of region: ctx-rh-isthmuscingulate,175,0,0,
Volume_mm3.ctx-rh-lateraloccipital,numeric,Volume (mm³) of region: ctx-rh-lateraloccipital,216,0,0,
Volume_mm3.ctx-rh-lateralorbitofrontal,numeric,Volume (mm³) of region: ctx-rh-lateralorbitofrontal,191,0,0,
Volume_mm3.ctx-rh-lingual,numeric,Volume (mm³) of region: ctx-rh-lingual,199,0,0,
Volume_mm3.ctx-rh-medialorbitofrontal,numeric,Volume (mm³) of region: ctx-rh-medialorbitofrontal,186,0,0,
Volume_mm3.ctx-rh-middletemporal,numeric,Volume (mm³) of region: ctx-rh-middletemporal,211,0,0,
